,idaviso,idcaracteristica,count
790,14259989,1000078,9
791,14259989,1000001,9
792,14259989,1000100,9
793,14259989,1000068,9
794,48547366,1000102,2
796,48547366,1000111,2
804,47298866,1000079,2
805,47298866,2000141,2
806,48572887,1000102,3
810,48572887,1000111,3
812,48572887,1000101,3
814,48585959,1000117,1
816,14259999,1000102,9
817,14259999,1000004,9
818,14259999,1000038,9
819,14259999,1000027,9
820,14259999,1000110,9
821,14259999,1000078,9
822,14259999,1000001,9
823,14259999,1000100,9
824,14259999,1000068,9
825,48585970,1000102,3
828,48585970,1000079,3
829,48585970,1000090,3
830,21430176,1000102,8
831,21430176,1000116,8
832,21430176,1000111,8
833,21430176,1000078,8
834,21430176,1000100,8
835,21430176,1000068,8
836,21430176,2000142,8
838,48586121,1000111,3
839,48586121,1000078,3
841,48586121,1000118,3
842,21430842,1000116,1
844,48586148,1000102,3
845,48586148,1000027,3
846,48586148,1000100,3
847,21430176,2000148,8
849,21432009,1000027,5
850,21432009,1000110,5
851,21432009,1000100,5
852,21432009,1000101,5
853,21432009,1000068,5
855,48068382,1000102,6
856,48068382,1000027,6
857,48068382,1000110,6
858,48068382,1000111,6
859,48068382,1000100,6
860,48068382,1000117,6
861,21435273,1000102,5
862,21435273,1000027,5
863,21435273,1000110,5
864,21435273,1000111,5
865,21435273,1000100,5
866,21436325,1000102,2
868,21436325,1000110,2
870,21451980,1000102,4
871,21451980,1000027,4
872,21451980,1000110,4
873,21451980,1000111,4
879,48586158,1000038,2
880,48586158,1000116,2
886,21457802,1000027,3
888,21457802,1000111,3
891,21457802,2000141,3
894,48597546,1000102,7
895,48597546,1000110,7
896,48597546,1000111,7
897,48597546,1000078,7
899,48597546,1000068,7
900,48597546,2000142,7
901,48597546,2000148,7
902,6476936,1000116,2
903,6476936,1000100,2
904,48605429,1000102,3
906,48605429,1000111,3
907,48605429,1000079,3
908,48584664,1000102,7
910,48584664,1000110,7
911,48584664,1000111,7
912,48584664,1000079,7
913,48584664,1000117,7
914,48584664,1000106,7
915,48584664,1000118,7
917,48586181,1000110,2
918,48586181,1000111,2
928,21492164,1000110,2
929,21492164,1000111,2
937,48254291,1000027,2
945,48254291,1000118,2
946,21493092,1000102,3
947,21493092,1000027,3
948,21493092,1000111,3
949,21497443,1000102,3
950,21497443,1000027,3
951,21497443,1000100,3
952,48605384,1000102,3
953,48605384,1000110,3
954,48605384,1000100,3
961,21532310,1000027,1
971,21533120,2000141,1
977,46767411,1000116,2
982,46767411,2000148,2
985,21549681,1000116,4
986,21549681,1000110,4
987,21549681,1000111,4
988,21549681,1000079,4
1000,21549686,1000116,4
1001,21549686,1000110,4
1002,21549686,1000111,4
1003,21549686,1000079,4
1006,48584712,1000102,5
1007,48584712,1000100,5
1008,48584712,1000085,5
1009,48584712,2000148,5
1010,48584712,1000092,5
1012,21575474,1000027,4
1013,21575474,1000105,4
1014,21575474,1000111,4
1015,21575474,1000068,4
1020,21586441,1000027,3
1022,21586441,1000111,3
1025,21586441,2000141,3
1028,48539392,1000079,4
1029,48539392,1000068,4
1030,48539392,2000142,4
1031,48539392,1000092,4
1035,48335872,1000110,3
1036,48335872,1000111,3
1039,48335872,1000101,3
1045,48030415,1000116,4
1046,48030415,1000110,4
1047,48030415,1000111,4
1053,48030415,1000092,4
1060,21611197,1000078,1
1061,48374730,1000102,2
1062,48374730,1000116,2
1063,21617275,1000102,4
1064,21617275,1000038,4
1065,21617275,2000142,4
1066,21617275,1000117,4
1067,21631271,1000102,2
1069,21631271,1000110,2
1074,48585836,1000102,5
1075,48585836,1000027,5
1076,48585836,1000110,5
1077,48585836,1000100,5
1078,48585836,1000117,5
1083,21638819,1000110,3
1084,21638819,1000111,3
1089,21638819,1000090,3
1090,21646828,1000102,10
1091,21646828,1000110,10
1092,21646828,1000078,10
1093,21646828,1000079,10
1094,21646828,1000101,10
1095,21646828,1000068,10
1096,21646828,1000117,10
1097,21646828,1000106,10
