,idaviso,dia,visits,impressions,leads
229,13464594,2021-10-13,0.0,11.0,0.0
230,13464594,2021-10-14,0.0,7.0,0.0
231,13464594,2021-10-15,1.0,10.0,0.0
232,13464594,2021-10-16,0.0,31.0,0.0
233,13464594,2021-10-17,2.0,37.0,0.0
234,13464594,2021-10-18,0.0,14.0,0.0
235,13464594,2021-10-19,0.0,6.0,0.0
236,13464594,2021-10-20,0.0,3.0,0.0
237,13464594,2021-10-21,0.0,7.0,0.0
238,13464594,2021-10-22,0.0,8.0,0.0
239,13464594,2021-10-23,0.0,8.0,0.0
240,13464594,2021-10-24,0.0,8.0,0.0
241,13464594,2021-10-25,0.0,6.0,0.0
242,13464594,2021-10-26,0.0,3.0,0.0
243,13464594,2021-10-27,0.0,12.0,0.0
244,13464594,2021-10-28,0.0,4.0,0.0
245,13464594,2021-10-29,0.0,6.0,0.0
246,13464596,2021-09-30,0.0,2.0,0.0
247,13464596,2021-10-01,0.0,1.0,0.0
248,13464596,2021-10-02,0.0,1.0,0.0
249,13464596,2021-10-05,0.0,1.0,0.0
250,13464596,2021-10-06,0.0,5.0,0.0
251,13464596,2021-10-07,0.0,1.0,0.0
252,13464596,2021-10-10,0.0,1.0,0.0
253,13464596,2021-10-11,0.0,1.0,0.0
254,13464596,2021-10-12,0.0,3.0,0.0
255,13464596,2021-10-13,0.0,3.0,0.0
256,13464596,2021-10-14,0.0,1.0,0.0
257,13464596,2021-10-15,0.0,1.0,0.0
258,13464596,2021-10-17,0.0,2.0,0.0
259,13464596,2021-10-18,0.0,1.0,0.0
260,13464596,2021-10-19,0.0,1.0,0.0
261,13464596,2021-10-22,0.0,1.0,0.0
262,13464596,2021-10-23,0.0,3.0,0.0
263,13464596,2021-10-24,0.0,3.0,0.0
264,13464596,2021-10-26,0.0,1.0,0.0
265,13464596,2021-10-27,0.0,1.0,0.0
266,13464596,2021-10-28,0.0,2.0,0.0
267,13464596,2021-10-29,0.0,1.0,0.0
268,13464612,2021-09-29,1.0,3.0,0.0
269,13464612,2021-09-30,0.0,2.0,0.0
270,13464612,2021-10-01,0.0,4.0,0.0
271,13464612,2021-10-03,0.0,2.0,0.0
272,13464612,2021-10-04,0.0,3.0,0.0
273,13464612,2021-10-05,0.0,2.0,0.0
274,13464612,2021-10-06,0.0,6.0,0.0
275,13464612,2021-10-07,0.0,2.0,0.0
276,13464612,2021-10-08,0.0,8.0,0.0
277,13464612,2021-10-09,0.0,6.0,0.0
278,13464612,2021-10-10,0.0,6.0,0.0
279,13464612,2021-10-11,0.0,8.0,0.0
280,13464612,2021-10-12,0.0,4.0,0.0
281,13464612,2021-10-13,0.0,8.0,0.0
282,13464612,2021-10-14,0.0,4.0,0.0
283,13464612,2021-10-15,0.0,2.0,0.0
284,13464612,2021-10-16,0.0,29.0,0.0
285,13464612,2021-10-17,0.0,5.0,0.0
286,13464612,2021-10-18,0.0,2.0,0.0
287,13464612,2021-10-19,0.0,9.0,0.0
288,13464612,2021-10-20,0.0,1.0,0.0
289,13464612,2021-10-21,0.0,3.0,0.0
290,13464612,2021-10-23,0.0,3.0,0.0
291,13464612,2021-10-24,0.0,5.0,0.0
292,13464612,2021-10-25,0.0,1.0,0.0
293,13464612,2021-10-26,0.0,4.0,0.0
294,13464612,2021-10-27,0.0,4.0,0.0
295,13464612,2021-10-28,0.0,2.0,0.0
296,13464612,2021-10-29,0.0,3.0,0.0
297,45145154,2021-09-29,0.0,3.0,0.0
298,45145154,2021-09-30,0.0,1.0,0.0
299,45145154,2021-10-01,0.0,1.0,0.0
300,45145154,2021-10-02,0.0,3.0,0.0
301,45145154,2021-10-04,0.0,2.0,0.0
302,45145154,2021-10-05,0.0,6.0,0.0
303,45145154,2021-10-06,0.0,1.0,0.0
304,45145154,2021-10-07,0.0,1.0,0.0
305,45145154,2021-10-08,0.0,4.0,0.0
306,45145154,2021-10-09,0.0,2.0,0.0
307,45145154,2021-10-10,0.0,2.0,0.0
308,45145154,2021-10-11,0.0,6.0,0.0
309,45145154,2021-10-12,0.0,1.0,0.0
310,45145154,2021-10-13,0.0,1.0,0.0
311,45145154,2021-10-14,0.0,2.0,0.0
312,45145154,2021-10-15,0.0,1.0,0.0
313,45145154,2021-10-16,0.0,1.0,0.0
314,45145154,2021-10-17,0.0,6.0,0.0
315,45145154,2021-10-18,0.0,3.0,0.0
316,45145154,2021-10-19,0.0,2.0,0.0
317,45145154,2021-10-20,0.0,3.0,0.0
318,45145154,2021-10-21,0.0,1.0,0.0
319,45145154,2021-10-22,0.0,3.0,0.0
320,45145154,2021-10-23,0.0,1.0,0.0
321,45145154,2021-10-25,0.0,2.0,0.0
